Last Updated: 2025-12-03 04:01:25
Tail,Type,Base,Current Tach,Hours Until 100-Hour,Days Until Annual,Days Until FAA Re-Registration
N12SA,CE_172_SP,KISM,5325.10,53.8 hours,179 days,544 days
N174TH,CE_172_SP,KORL,4826.00,22.8 hours,87 days,636 days
N195TH,CE_172_SP,KISM,5331.80,60.3 hours,87 days,1821 days
N2302Y,CE_172_SP,KISM,8087.70,24.5 hours,59 days,1336 days
N24108,CE_172_SP,KORL,4004.20,97.5 hours,332 days,1639 days
N401AA,CE_172_SP,KISM,2287.80,100.0 hours,271 days,2164 days
N452MK,CE_172_SP,KISM,1659.80,27.0 hours,209 days,1793 days
N464ER,CE_172_SP,KORL,7574.60,14.3 hours,301 days,2035 days
N52522,CE_172_SP,KORL,9095.90,1.2 hours,148 days,727 days
N5524A,CE_172_SP,KISM,4574.00,12.5 hours,271 days,636 days
N55297,CE_172_SP,KORL,5033.60,72.9 hours,148 days,1093 days
N6064R,CE_172_SP,KORL,11154.50,69.1 hours,148 days,1854 days
N628SG,CE_172_SP,KISM,7724.50,68.8 hours,271 days,1823 days
N899AA,CE_172_SP,KISM,4346.50,76.3 hours,28 days,1885 days
N25582,CE152,KISM,2361.20,95.8 hours,362 days,1520 days
N6132Q,CE152,KISM,2403.00,53.0 hours,307 days,1336 days
N89743,CE152,KISM,872.80,57.7 hours,332 days,606 days
N505FM,DA42_NG,KISM,1795.90,11.8 hours,28 days,1792 days
N1252L,PipistrelAT,KISM,250.20,49.7 hours,118 days,2248 days
N221AP,PipistrelAT,KISM,325.20,75.6 hours,362 days,2127 days
ELITE,AATD,KISM,,,,
RB_LD_1,AATD,KISM,,,,
RDBirdF,AATD,KORL,,,,
